"","Code","Municipality.x","population_tcu.","hot","cold"
"357","171090","ITAPIRATINS",3814,0,0
"358","171150","JAU DO TOCANTINS",3906,0,0
"359","171180","JUARINA",2174,0,0
"360","171190","LAGOA DA CONFUSAO",13989,0,0
"361","171195","LAGOA DO TOCANTINS",4470,0,0
"362","171200","LAJEADO",3199,0,0
"363","171240","LIZARDA",3727,0,0
"364","171245","LUZINOPOLIS",3200,0,0
"365","171250","MARIANOPOLIS DO TOCANTINS",5332,0,0
"366","171280","MAURILANDIA DO TOCANTINS",3470,0,0
"367","171320","MIRACEMA DO TOCANTINS",17628,0,0
"368","171330","MIRANORTE",13551,0,0
"369","171360","MONTE DO CARMO",8182,0,0
"370","171370","MONTE SANTO DO TOCANTINS",2311,0,0
"371","171380","PALMEIRAS DO TOCANTINS",6830,0,0
"372","171395","MURICILANDIA",3623,0,0
"373","171420","NATIVIDADE",9256,0,0
"374","171430","NAZARE",3772,0,0
"375","171488","NOVA OLINDA",12014,0,0
"376","171500","NOVA ROSALANDIA",4348,0,0
"377","171510","NOVO ACORDO",4450,0,0
"378","171515","NOVO ALEGRE",2332,0,0
"379","171550","OLIVEIRA DE FATIMA",1124,0,0
"380","171570","PALMEIRANTE",6234,0,0
"381","171575","PALMEIROPOLIS",7694,0,0
"382","171610","PARAISO DO TOCANTINS",52521,0,0
"383","171620","PARANA",10426,0,0
"384","171630","PAU D'ARCO",4885,0,0
"385","171650","PEDRO AFONSO",13964,0,0
"386","171660","PEIXE",11996,0,0
"387","171670","COLMEIA",8078,0,0
"388","171700","PINDORAMA DO TOCANTINS",4414,0,0
"389","171750","PIUM",7830,0,0
"390","171780","PONTE ALTA DO BOM JESUS",4586,0,1
"391","171790","PONTE ALTA DO TOCANTINS",8192,0,0
"392","171800","PORTO ALEGRE DO TOCANTINS",3200,0,0
"393","171820","PORTO NACIONAL",53618,0,0
"394","171830","PRAIA NORTE",8563,0,0
"395","171840","PRESIDENTE KENNEDY",3668,0,0
"396","171850","RECURSOLANDIA",4389,0,0
"397","171855","RIACHINHO",4723,0,0
"398","171865","RIO DA CONCEICAO",2211,0,0
"399","171870","RIO DOS BOIS",2879,0,0
"400","171875","RIO SONO",6498,0,0
"401","171880","SAMPAIO",4876,0,1
"402","171884","SANDOLANDIA",3371,0,0
"403","171886","SANTA FE DO ARAGUAIA",7678,0,0
"404","171888","SANTA MARIA DO TOCANTINS",3537,0,0
"405","171889","SANTA RITA DO TOCANTINS",2407,0,0
"406","171890","SANTA ROSA DO TOCANTINS",4864,0,0
"407","171900","SANTA TEREZA DO TOCANTINS",2928,0,0
"408","172010","SAO BENTO DO TOCANTINS",5457,0,0
"409","172015","SAO FELIX DO TOCANTINS",1610,0,0
"410","172020","SAO MIGUEL DO TOCANTINS",12445,0,0
"411","172030","SAO SEBASTIAO DO TOCANTINS",4898,0,0
"412","172049","SAO VALERIO",3848,0,0
"413","172065","SILVANOPOLIS",5452,0,0
"414","172080","SITIO NOVO DO TOCANTINS",8965,0,0
"415","172090","TAGUATINGA",16966,0,0
"416","172097","TALISMA",2831,0,0
"417","172100","PALMAS",313349,0,0
"418","172120","TOCANTINOPOLIS",22820,0,0
"419","172125","TUPIRAMA",1952,0,0
"420","172130","TUPIRATINS",2785,0,0
"421","172208","WANDERLANDIA",11783,0,0
"422","172210","XAMBIOA",11500,0,0
"423","MUNICIPIO","IGNORADO - MA",0,0,0
"424","210005","ACAILANDIA",113783,0,0
"425","210010","AFONSO CUNHA",6631,0,0
"426","210015","AGUA DOCE DO MARANHAO",12731,0,0
"427","210020","ALCANTARA",22126,0,0
"428","210030","ALDEIAS ALTAS",26979,0,0
"429","210040","ALTAMIRA DO MARANHAO",8250,0,0
"430","210043","ALTO ALEGRE DO MARANHAO",28066,0,0
"431","210047","ALTO ALEGRE DO PINDARE",31967,0,0
"432","210050","ALTO PARNAIBA",11233,0,0
"433","210055","AMAPA DO MARANHAO",7047,0,0
"434","210060","AMARANTE DO MARANHAO",42017,0,0
"435","210070","ANAJATUBA",27170,0,0
"436","210080","ANAPURUS",16054,0,0
"437","210083","APICUM-ACU",17582,0,0
"438","210087","ARAGUANA",15675,0,0
"439","210090","ARAIOSES",47095,0,0
"440","210095","ARAME",32825,0,0
"441","210100","ARARI",30014,0,0
"442","210110","AXIXA",12234,0,0
"443","210120","BACABAL",105094,0,0
"444","210125","BACABEIRA",17446,0,0
"445","210130","BACURI",18726,0,0
"446","210135","BACURITUBA",5696,0,0
"447","210140","BALSAS",96951,0,0
"448","210150","BARAO DE GRAJAU",19026,0,0
"449","210160","BARRA DO CORDA",88895,0,0
"450","210170","BARREIRINHAS",63891,0,0
"451","210173","BELAGUA",7586,0,0
"452","210177","BELA VISTA DO MARANHAO",11347,0,0
"453","210180","BENEDITO LEITE",5643,0,0
"454","210190","BEQUIMAO",21317,0,0
"455","210193","BERNARDO DO MEARIM",6102,0,0
"456","210197","BOA VISTA DO GURUPI",8494,0,0
"457","210200","BOM JARDIM",42010,0,0
"458","210203","BOM JESUS DAS SELVAS",35095,0,0
"459","210207","BOM LUGAR",16578,0,0
"460","210210","BREJO",36900,0,0
"461","210215","BREJO DE AREIA",8841,0,0
"462","210220","BURITI",28916,0,0
"463","210230","BURITI BRAVO",23993,0,0
"464","210232","BURITICUPU",73595,0,0
"465","210235","BURITIRANA",15503,0,0
"466","210240","CAJAPIO",11255,0,0
"467","210250","CAJARI",19521,0,0
"468","210255","CAMPESTRE DO MARANHAO",14530,0,0
"469","210260","CANDIDO MENDES",20376,0,0
"470","210270","CANTANHEDE",22236,0,0
"471","210275","CAPINZAL DO NORTE",10937,0,0
"472","210280","CAROLINA",24151,0,0
"473","210290","CARUTAPERA",24095,0,0
"474","210300","CAXIAS",166159,0,0
"475","210310","CEDRAL",10711,1,0
"476","210312","CENTRAL DO MARANHAO",8806,0,0
"477","210315","CENTRO DO GUILHERME",13876,0,0
"478","210317","CENTRO NOVO DO MARANHAO",22056,0,0
"479","210320","CHAPADINHA",80705,0,0
"480","210325","CIDELANDIA",14855,0,0
"481","210330","CODO",123368,0,0
"482","210340","COELHO NETO",49804,0,0
"483","210350","COLINAS",41443,0,0
"484","210355","CONCEICAO DO LAGO-ACU",16559,0,0
"485","210360","COROATA",65788,0,0
"486","210370","CURURUPU",32559,0,0
"487","210375","DAVINOPOLIS",12923,0,0
"488","210380","DOM PEDRO",23393,0,0
"489","210390","DUQUE BACELAR",11451,0,0
"490","210400","ESPERANTINOPOLIS",16971,0,0
"491","210405","ESTREITO",43097,0,0
"492","210407","FEIRA NOVA DO MARANHAO",8506,0,0
"493","210408","FERNANDO FALCAO",10559,0,0
"494","210409","FORMOSA DA SERRA NEGRA",19425,0,0
"495","210410","FORTALEZA DOS NOGUEIRAS",12662,0,0
"496","210420","FORTUNA",17812,0,0
"497","210430","GODOFREDO VIANA",12104,0,0
"498","210440","GONCALVES DIAS",17953,0,0
"499","210450","GOVERNADOR ARCHER",10931,0,0
"500","210455","GOVERNADOR EDISON LOBAO",18740,0,0
"501","210460","GOVERNADOR EUGENIO BARROS",14703,0,0
"502","210462","GOVERNADOR LUIZ ROCHA",7878,0,0
"503","210465","GOVERNADOR NEWTON BELLO",10121,0,0
"504","210467","GOVERNADOR NUNES FREIRE",25502,0,0
"505","210470","GRACA ARANHA",6261,0,1
"506","210480","GRAJAU",70692,0,0
"507","210490","GUIMARAES",11966,0,0
"508","210500","HUMBERTO DE CAMPOS",29143,0,0
"509","210510","ICATU",27423,0,0
"510","210515","IGARAPE DO MEIO",14470,0,0
"511","210520","IGARAPE GRANDE",11453,0,0
"512","210530","IMPERATRIZ",259980,0,0
"513","210535","ITAIPAVA DO GRAJAU",16158,0,0
"514","210540","ITAPECURU MIRIM",69233,0,0
"515","210542","ITINGA DO MARANHAO",26134,0,0
"516","210545","JATOBA",10464,0,0
"517","210547","JENIPAPO DOS VIEIRAS",17123,0,0
"518","210550","JOAO LISBOA",23677,0,0
"519","210560","JOSELANDIA",16228,0,1
"520","210565","JUNCO DO MARANHAO",4334,0,0
"521","210570","LAGO DA PEDRA",50959,0,0
"522","210580","LAGO DO JUNCO",10900,0,0
"523","210590","LAGO VERDE",16369,0,0
"524","210592","LAGOA DO MATO",11280,0,0
"525","210594","LAGO DOS RODRIGUES",8841,0,0
"526","210596","LAGOA GRANDE DO MARANHAO",11534,0,0
"527","210598","LAJEADO NOVO",7653,0,0
"528","210600","LIMA CAMPOS",11943,0,0
"529","210610","LORETO",12271,0,0
"530","210620","LUIS DOMINGUES",7016,0,0
"531","210630","MAGALHAES DE ALMEIDA",20228,0,0
"532","210632","MARACACUME",21773,0,0
"533","210637","MARANHAOZINHO",16754,0,0
"534","210640","MATA ROMA",17122,0,0
"535","210650","MATINHA",23591,0,0
"536","210660","MATOES",34099,0,0
"537","210663","MATOES DO NORTE",17316,0,0
"538","210667","MILAGRES DO MARANHAO",8502,0,0
"539","210670","MIRADOR",21045,0,0
"540","210675","MIRANDA DO NORTE",29121,0,0
"541","210680","MIRINZAL",15059,0,0
"542","210690","MONCAO",33888,0,0
"543","210700","MONTES ALTOS",9064,0,0
"544","210710","MORROS",19708,0,0
"545","210720","NINA RODRIGUES",14826,0,0
"546","210725","NOVA COLINAS",5469,0,0
"547","210730","NOVA IORQUE",4682,0,0
"548","210735","NOVA OLINDA DO MARANHAO",21228,0,0
"549","210740","OLHO D'AGUA DAS CUNHAS",19616,0,0
"550","210745","OLINDA NOVA DO MARANHAO",14968,0,0
"551","210750","PACO DO LUMIAR",125265,0,0
"552","210760","PALMEIRANDIA",19840,0,0
"553","210770","PARAIBANO",21571,0,0
"554","210780","PARNARAMA",35108,0,0
"555","210790","PASSAGEM FRANCA",19253,0,0
"556","210800","PASTOS BONS",19693,0,0
"557","210805","PAULINO NEVES",16295,0,0
"558","210810","PAULO RAMOS",21092,0,0
"559","210820","PEDREIRAS",39153,0,0
"560","210825","PEDRO DO ROSARIO",25560,0,0
"561","210830","PENALVA",38987,0,0
"562","210840","PERI MIRIM",14371,0,0
"563","210845","PERITORO",23530,0,0
"564","210850","PINDARE-MIRIM",33186,0,0
"565","210860","PINHEIRO",84160,0,0
"566","210870","PIO XII",21274,0,0
"567","210880","PIRAPEMAS",18814,0,0
"568","210890","POCAO DE PEDRAS",17321,0,0
"569","210900","PORTO FRANCO",24294,0,0
"570","210905","PORTO RICO DO MARANHAO",5936,0,0
"571","210910","PRESIDENTE DUTRA",48264,0,0
"572","210920","PRESIDENTE JUSCELINO",12939,0,0
"573","210923","PRESIDENTE MEDICI",7124,0,0
"574","210927","PRESIDENTE SARNEY",19217,0,0
"575","210930","PRESIDENTE VARGAS",11328,0,0
"576","210940","PRIMEIRA CRUZ",15545,0,0
"577","210945","RAPOSA",31586,0,0
"578","210950","RIACHAO",20288,0,0
"579","210955","RIBAMAR FIQUENE",7859,0,0
"580","210960","ROSARIO",43243,0,0
"581","210970","SAMBAIBA",5686,0,0
"582","210975","SANTA FILOMENA DO MARANHAO",7878,0,0
"583","210980","SANTA HELENA",42829,0,0
"584","210990","SANTA INES",89927,0,0
"585","211000","SANTA LUZIA",73105,0,0
